 n;   la; isd;  iter/epoc;  mbatch;       L*;    ngL*;     tex; tr_acc; te_acc;
 1; 0.00;      1;      27;       0; 8.22e-04; 6.4e-04; 8.8e-01;   99.9;  100.0;
 1; 0.00;      3;      17;       0; 1.02e-03; 9.7e-04; 6.3e-01;  100.0;  100.0;
 1; 0.00;      7;       9;    4501; 4.72e-04; 0.0e+00; 1.8e-01;  100.0;  100.0;
 1; 0.01;      1;      26;       0; 2.67e-02; 7.3e-04; 7.1e-01;  100.0;  100.0;
 1; 0.01;      3;      25;       0; 2.67e-02; 1.0e-03; 8.2e-01;  100.0;  100.0;
 1; 0.01;      7;       6;    3001; 2.70e-02; 0.0e+00; 1.1e-01;  100.0;  100.0;
 1; 0.50;      1;     100;       0; 1.73e-01; 5.1e-03; 2.5e+00;  100.0;   99.8;
 1; 0.50;      3;      67;       0;      NaN;     NaN; 2.1e+00;    0.0;    0.0;
 1; 0.50;      7;      19;    9501; 1.94e-01; 0.0e+00; 3.1e-01;   95.9;   98.6;
 2; 0.00;      1;     100;       0; 1.23e-02; 1.1e-02; 2.7e+00;   99.5;   99.4;
 2; 0.00;      3;      24;       0; 5.48e-03; 8.8e-04; 8.1e-01;   99.4;   99.4;
 2; 0.00;      7;       9;    4501; 3.65e-03; 0.0e+00; 1.6e-01;   99.7;   99.0;
 2; 0.01;      1;     100;       0; 4.94e-02; 9.0e-03; 2.6e+00;   99.4;   99.4;
 2; 0.01;      3;     100;       0; 4.93e-02; 2.5e-03; 3.2e+00;   99.5;   99.4;
 2; 0.01;      7;       8;    4001; 5.32e-02; 0.0e+00; 1.3e-01;   99.0;   99.4;
 2; 0.50;      1;      12;       0; 1.95e-01; 8.4e-04; 3.2e-01;   94.8;   91.6;
 2; 0.50;      3;      71;       0;      NaN;     NaN; 2.2e+00;    0.0;    0.0;
 2; 0.50;      7;      12;    6001; 3.17e-01; 0.0e+00; 2.0e-01;   49.6;   90.8;
 3; 0.00;      1;     100;       0; 7.59e-02; 5.9e-02; 2.5e+00;   97.5;   96.6;
 3; 0.00;      3;     100;       0; 1.31e-02; 1.4e-03; 3.1e+00;   98.4;   97.6;
 3; 0.00;      7;       8;    4001; 1.83e-02; 0.0e+00; 1.4e-01;   97.6;   98.4;
 3; 0.01;      1;     100;       0; 8.40e-02; 7.7e-02; 2.3e+00;   97.3;   98.8;
 3; 0.01;      3;      37;       0; 7.37e-02; 8.6e-04; 1.1e+00;   98.1;   97.4;
 3; 0.01;      7;       8;    4001; 1.15e-01; 0.0e+00; 1.2e-01;   90.9;   98.0;
 3; 0.50;      1;      18;       0; 2.20e-01; 6.7e-04; 4.8e-01;   86.7;   73.2;
 3; 0.50;      3;      70;       0;      NaN;     NaN; 2.0e+00;    0.0;    0.0;
 3; 0.50;      7;      13;    6501; 3.56e-01; 0.0e+00; 2.2e-01;   49.6;   89.6;
 4; 0.00;      1;     100;       0; 8.13e-04; 1.2e-03; 2.4e+00;  100.0;  100.0;
 4; 0.00;      3;      19;       0; 9.57e-04; 9.9e-04; 6.0e-01;   99.9;  100.0;
 4; 0.00;      7;      18;    9001; 2.28e-04; 0.0e+00; 3.0e-01;  100.0;  100.0;
 4; 0.01;      1;      26;       0; 2.59e-02; 9.9e-04; 6.5e-01;  100.0;  100.0;
 4; 0.01;      3;      28;       0; 2.59e-02; 8.8e-04; 8.7e-01;  100.0;  100.0;
 4; 0.01;      7;       9;    4501; 2.74e-02; 0.0e+00; 1.6e-01;   99.9;  100.0;
 4; 0.50;      1;     100;       0; 1.68e-01; 1.6e-02; 2.2e+00;   99.8;   99.8;
 4; 0.50;      3;     100;       0; 1.68e-01; 1.2e-03; 2.9e+00;   99.8;   99.8;
 4; 0.50;      7;      12;    6001; 2.32e-01; 0.0e+00; 1.8e-01;   49.5;   89.8;
 5; 0.00;      1;     100;       0; 2.24e-03; 2.9e-03; 2.5e+00;   99.9;  100.0;
 5; 0.00;      3;      29;       0; 1.06e-03; 9.2e-04; 9.0e-01;   99.9;  100.0;
 5; 0.00;      7;       8;    4001; 1.66e-03; 0.0e+00; 1.3e-01;   99.8;  100.0;
 5; 0.01;      1;      24;       0; 3.52e-02; 7.9e-04; 6.3e-01;   99.9;  100.0;
 5; 0.01;      3;     100;       0; 3.52e-02; 1.6e-03; 2.9e+00;   99.9;  100.0;
 5; 0.01;      7;       9;    4501; 3.81e-02; 0.0e+00; 1.5e-01;   99.7;  100.0;
 5; 0.50;      1;     100;       0; 1.89e-01; 1.3e-03; 2.3e+00;   99.6;   98.8;
 5; 0.50;      3;     100;       0; 1.89e-01; 1.8e-03; 2.9e+00;   99.6;   99.0;
 5; 0.50;      7;      18;    9001; 2.97e-01; 0.0e+00; 2.6e-01;   50.0;   91.2;
 6; 0.00;      1;     100;       0; 1.16e-02; 1.9e-02; 2.4e+00;   99.6;   99.8;
 6; 0.00;      3;     100;       0; 3.02e-03; 1.6e-03; 2.9e+00;   99.6;   99.4;
 6; 0.00;      7;      14;    7001; 2.34e-03; 0.0e+00; 2.5e-01;   99.8;   99.8;
 6; 0.01;      1;     100;       0; 4.65e-02; 1.0e-02; 2.3e+00;   99.6;   99.4;
 6; 0.01;      3;     100;       0; 4.60e-02; 1.1e-03; 3.0e+00;   99.6;   99.4;
 6; 0.01;      7;      10;    5001; 4.97e-02; 0.0e+00; 1.5e-01;   99.3;   99.4;
 6; 0.50;      1;      16;       0; 2.00e-01; 8.1e-04; 4.2e-01;   94.8;   91.4;
 6; 0.50;      3;      77;       0;      NaN;     NaN; 2.2e+00;    0.0;    0.0;
 6; 0.50;      7;       6;    3001; 2.70e-01; 0.0e+00; 1.0e-01;   49.2;   90.4;
 7; 0.00;      1;      26;       0; 1.99e-03; 9.7e-04; 6.9e-01;   99.8;   99.8;
 7; 0.00;      3;      21;       0; 1.34e-03; 5.2e-04; 6.6e-01;   99.8;   99.6;
 7; 0.00;      7;      12;    6001; 1.08e-03; 0.0e+00; 1.9e-01;   99.9;   99.6;
 7; 0.01;      1;      26;       0; 3.17e-02; 9.2e-04; 6.8e-01;   99.8;   99.4;
 7; 0.01;      3;      29;       0; 3.17e-02; 9.5e-04; 9.1e-01;   99.8;   99.4;
 7; 0.01;      7;      12;    6001; 3.28e-02; 0.0e+00; 2.1e-01;   99.8;   99.6;
 7; 0.50;      1;     100;       0; 1.77e-01; 4.9e-03; 2.3e+00;   97.3;   94.6;
 7; 0.50;      3;      64;       0;      NaN;     NaN; 1.9e+00;    0.0;    0.0;
